Entity,Year,Global plastics production (million tonnes) (tonnes)
World,1950,2000000
World,1951,2000000
World,1952,2000000
World,1953,3000000
World,1954,3000000
World,1955,4000000
World,1956,5000000
World,1957,5000000
World,1958,6000000
World,1959,7000000
World,1960,8000000
World,1961,9000000
World,1962,11000000
World,1963,13000000
World,1964,15000000
World,1965,17000000
World,1966,20000000
World,1967,23000000
World,1968,27000000
World,1969,32000000
World,1970,35000000
World,1971,38000000
World,1972,44000000
World,1973,51000000
World,1974,52000000
World,1975,46000000
World,1976,54000000
World,1977,59000000
World,1978,64000000
World,1979,71000000
World,1980,70000000
World,1981,72000000
World,1982,73000000
World,1983,80000000
World,1984,86000000
World,1985,90000000
World,1986,96000000
World,1987,104000000
World,1988,110000000
World,1989,114000000
World,1990,120000000
World,1991,124000000
World,1992,132000000
World,1993,137000000
World,1994,151000000
World,1995,156000000
World,1996,168000000
World,1997,180000000
World,1998,188000000
World,1999,202000000
World,2000,213000000
World,2001,218000000
World,2002,231000000
World,2003,241000000
World,2004,256000000
World,2005,263000000
World,2006,280000000
World,2007,295000000
World,2008,281000000
World,2009,288000000
World,2010,313000000
World,2011,325000000
World,2012,338000000
World,2013,352000000
World,2014,367000000
World,2015,381000000
