Entity,Code,Year,Production,Waste Generated
All industrial sectors,,2015,407000000,302000000
Packaging,,2015,146000000,141000000
"LD, LDPE",,2015,64000000,57000000
PP,,2015,68000000,55000000
Other sector,,2015,59000000,42000000
PP&A fibers,,2015,59000000,42000000
HDPE,,2015,52000000,40000000
Textiles,,2015,47000000,38000000
Consumer & Institutional Products,,2015,42000000,37000000
PET,,2015,33000000,32000000
Additives,,2015,25000000,17000000
PS,,2015,25000000,17000000
Transportation,,2015,27000000,17000000
PUT,,2015,27000000,16000000
PVC,,2015,38000000,15000000
Building and Construction,,2015,65000000,13000000
Electrical/Electronic,,2015,18000000,13000000
Other polymer type,,2015,16000000,11000000
Industrial Machinery,,2015,3000000,1000000
